,Méningite,Maladies Cardiovasculaires  ,Démence  ,Maladies rénales  ,Maladies respiratoires,Maladies du foie ,Maladies digestives   ,Hépatite  ,Cancers  ,Maladie de Parkinson  , Incendie ,Noyade,Homicide  ,VIH/SIDA ,Excés de drogue,Tuberculose ,Blessures de la route,Troubles lié à  l'alcoolisme,Catastrophes naturelle,Maladies diarrhéiques,Chaleur (Froid ou Chaud),Déficiences nutritionnelles,Suicide,Diabète  ,Empoisonnement 
1990,2613.171837,68113.47522,3409.847682,2197.027749,5062.737355,2047.441164,4220.234234,419.303723,11665.6827,477.1119975,1312.412925,1262.363989,162.937678,102.6212952,156.4818139,8179.234461,8630.539518,67.5239444,0,10568.06981,67.41869025,284.4890852,1743.509154,3216.644628,424.4563925
1991,2472.623937,69982.79356,3568.961345,2248.075216,5150.59515,2083.032269,4260.30238,413.7064442,12023.59317,495.2447582,1291.144924,1223.105983,166.8474608,126.6167806,168.8345894,7991.32967,8607.926393,70.73604711,0,9449.496958,67.62764155,269.3665596,1793.665855,3333.96249,420.6562343
1992,2357.255599,72069.75327,3728.749598,2308.440273,5250.234925,2122.535201,4314.267016,409.870067,12393.87676,514.1185129,1276.914538,1185.820995,173.6411246,154.5161332,181.6036349,7899.288607,8577.38559,73.96766747,0,8500.347154,68.20392496,253.412042,1848.150432,3466.787583,418.3753983
1993,2270.459474,74488.41394,3883.468945,2383.024326,5376.121515,2166.869405,4373.921692,409.79996,12813.20858,533.1681203,1275.49188,1166.431965,186.0939701,186.3236617,196.908429,7892.194797,8632.544908,77.60691415,0,7716.550716,68.94641135,239.5743183,1922.655288,3613.961063,420.2817684
1994,2194.113934,76062.30065,4024.731918,2431.38079,5447.028242,2205.767357,4417.179887,406.4645341,13148.10067,550.4029671,1267.268412,1139.884416,199.8479554,221.7210037,209.1155921,7743.422703,8550.35617,80.16096914,0,7007.127005,68.08473544,231.4777602,1965.348032,3717.234449,420.4149636
1995,2149.27361,78357.05291,4204.793354,2499.681412,5587.332984,2252.526131,4479.15213,406.1926278,13541.10817,575.4658939,1267.839853,1134.086744,222.421316,260.6549505,224.4191255,7671.295748,8575.19802,83.17964395,791.0000273,6418.918361,67.68119709,224.3007413,2022.683338,3847.195027,424.6939671
1996,2069.291555,80373.58675,4413.381805,2565.15823,5729.853922,2298.301074,4532.667784,405.0873417,13929.62999,605.4306038,1259.337272,1120.456724,252.8849562,302.3606128,241.6859649,7498.451824,8592.586336,86.2987311,38.99999998,5851.457309,67.18313014,223.890698,2114.01988,3983.917684,426.0527948
1997,1994.500147,82917.0978,4613.137941,2644.069601,5899.275121,2352.289257,4601.581093,407.6281805,14415.09047,634.7470521,1279.425221,1090.102639,290.5562673,347.5995477,261.1677942,7405.914133,8598.164895,89.88805392,60.00000043,5350.967508,66.50965968,217.6317649,2215.879647,4159.284993,427.4262949
1998,1946.290433,83778.99978,4737.49882,2672.937364,5958.15776,2384.682787,4625.274251,405.9216072,14720.13269,651.707064,1228.070811,1056.731037,332.1023765,397.4086114,278.3021765,7196.542652,8553.039491,92.79059754,0,4888.44326,65.80821765,207.6319171,2277.103846,4243.464426,425.9506503
1999,1817.590759,85487.04835,4908.197455,2745.740355,6056.513954,2419.70619,4668.085361,408.7345395,15153.41289,676.1719791,1203.535337,1020.492467,376.8501314,452.5084201,301.6063647,7072.662889,8524.795994,93.6509789,0,4489.607817,66.15375676,204.8648135,2378.528485,4429.547639,430.2097595
2000,1739.326481,85073.26551,4981.038998,2763.913743,5998.419537,2410.789831,4633.504292,405.6150286,15332.00765,687.818675,1158.583734,973.6299283,399.2823071,513.418071,321.9221106,6819.226583,8388.156501,92.24055356,5.999999999,4158.920105,66.3080383,198.1141568,2443.064786,4545.135539,433.6762354
2001,1665.929545,85635.36899,5073.662242,2824.209629,6003.596446,2418.924381,4635.283732,405.6139569,15672.60892,704.7916375,1125.736334,934.8643184,423.939007,579.4766952,345.5173134,6651.501746,8327.225579,92.55056882,14.99999999,3824.36698,66.5710717,190.2621166,2494.147409,4706.452961,436.4428655
2002,1611.468007,86236.1068,5230.036642,2898.837916,6013.197886,2442.258215,4677.43628,403.1455929,16015.39797,728.2436684,1142.299351,899.7392737,428.8539949,650.7402173,360.1613859,6481.023938,8160.728934,92.21823447,79.99999971,3557.687183,67.15373034,185.139949,2514.957282,4874.057825,435.2366678
2003,1546.26816,87864.01603,5433.038037,2995.547827,6125.29709,2478.415649,4741.528882,403.5336641,16490.62451,762.7233317,1063.866856,865.6297176,433.7004642,702.0752688,375.8362458,6390.870848,8042.533108,93.05399319,35.00000021,3294.348108,67.45341092,179.1092902,2532.140275,5076.414926,432.8565966
2004,1463.142941,89228.54681,5615.952719,3082.939005,6210.605787,2506.066147,4777.576722,402.0412161,16905.1702,791.9819138,1033.132171,825.8705328,433.6051913,724.0639723,391.6431125,6269.668636,7898.892869,94.3338364,628.000063,3023.000019,67.44988056,169.3439841,2540.374614,5279.320401,428.1390947
2005,1387.942361,91086.88751,5832.289709,3186.473992,6337.724972,2541.227189,4827.699952,401.7915264,17369.3493,827.7822058,1006.458851,790.7448307,431.2093003,753.5192076,408.452195,6176.879032,7775.262774,96.21335568,3.00000001,2780.694125,67.30368207,160.857844,2548.867177,5501.166733,423.9636325
2006,1308.092273,93463.48132,6064.129818,3305.472918,6503.068874,2576.743623,4871.40353,402.1083757,17872.35624,869.7586053,981.18701,750.9388264,427.1719026,798.4886183,426.2962864,6096.50785,7609.751437,98.31495679,16.99999998,2494.518237,66.65202599,153.9387243,2558.759937,5731.467166,418.1028503
2007,1083.861867,95397.27082,6314.257818,3424.632098,6601.059063,2628.612771,4947.123308,403.2743334,18430.20328,903.5865028,962.7053278,724.3995463,428.0004073,840.0950177,447.0164675,5995.503703,7541.419744,101.09089,0,2229.200371,66.71306308,144.0683475,2594.012487,5954.560387,414.3592127
2008,1032.503777,96996.38564,6519.594883,3536.141659,6675.596777,2671.008357,5002.028386,404.1532005,18948.80764,933.2103922,949.5312089,713.221268,424.7322584,861.8821565,467.805592,5880.672602,7513.786163,103.8111173,38.99999997,2033.322634,66.43621815,140.48556,2623.341739,6154.940544,413.0904486
2009,1017.478723,98296.67791,6736.117337,3647.610935,6720.645402,2731.21693,5088.193733,405.9495132,19508.5277,959.6417604,948.7942337,726.0475988,424.0179935,874.3410192,488.0325718,5747.502358,7554.57029,106.5778299,30.00000013,1928.496329,66.53624381,138.3309485,2649.061517,6347.521361,417.6161225
2010,981.0828923,99901.91666,6994.115732,3764.489731,6791.072113,2787.941187,5167.706858,406.6074456,20074.48039,991.8479531,936.9482666,719.294271,422.8038267,891.1154801,509.034997,5608.582138,7537.396354,109.4995224,41.99999994,1773.492067,66.16845732,134.1939004,2672.51591,6550.521572,416.0664519
2011,952.7312636,101789.1409,7254.256301,3881.496539,6895.518007,2848.283024,5250.368349,407.3246296,20677.35826,1027.272512,924.7383314,711.1857935,421.3180339,926.1204891,530.0691485,5480.818712,7519.154259,112.461829,0,1635.634264,65.80196458,130.372062,2653.812015,6758.355032,414.0590713
2012,882.5301449,103116.2757,7567.467332,3980.957914,6937.446295,2921.823797,5360.012847,406.6319619,21275.12902,1053.796075,906.8101912,695.5653557,420.9433943,907.5585514,549.5831471,5314.796817,7478.995146,115.1891095,0,1446.386691,65.22508803,122.7151717,2638.890008,6948.005485,408.7571615
2013,828.2160451,105336.9448,7911.301018,4097.866328,7071.557744,2990.115522,5459.568933,407.2594806,21909.33837,1094.263941,889.6245894,672.968683,418.6134401,848.3426,571.2069616,5202.565126,7412.117119,118.1256763,0,1294.097751,64.53546935,117.1692283,2620.200364,7171.179546,403.2194092
2014,817.3917174,107655.9317,8259.668569,4224.341183,7221.336568,3072.861725,5584.86686,410.1256026,22592.68383,1135.68498,890.043767,677.384567,418.4486479,778.0617319,594.0638227,5120.270525,7417.521076,121.167138,59.99999987,1240.05223,64.3780867,116.9905451,2604.68937,7402.114532,406.5953985
2015,780.8404029,109867.9065,8612.358347,4340.25546,7357.274277,3143.614976,5688.384965,411.134933,23231.11591,1175.992696,877.1500161,660.198426,416.3796799,720.7532048,617.0505014,5022.071844,7364.26116,124.1087455,0,1140.490814,63.67210086,112.8122302,2585.154573,7619.74625,403.2005848
2016,747.9473721,112449.5994,8981.755255,4466.399337,7523.635263,3220.645368,5804.882836,413.0087429,23895.93131,1219.715763,864.648223,644.9236682,413.4907238,653.6932945,641.3558829,4943.794171,7320.465467,127.0855569,0,1058.353228,63.0144076,111.2332453,2566.497654,7864.306548,399.7750874
2017,715.6990531,115124.0339,9342.935567,4543.652453,7679.80014,3298.015271,5931.750222,416.1090025,24504.90004,1260.769646,850.7342561,626.2136375,409.9523396,602.4715798,663.8750728,4882.781681,7263.557465,129.7078259,0,1022.392978,62.57202528,109.578743,2574.463273,8062.254703,395.0883209
